#voltaje, posicion, velocidad
0.0, 0.0, 0.0
0.10101010101010101, 0.0, 0.0
0.20202020202020202, 0.0, 0.0
0.30303030303030304, 0.0, 0.0
0.40404040404040403, 0.0, 0.0
0.5050505050505051, 1.0, 9.942558e-05
0.6060606060606061, 1.0, 8.29183e-05
0.7070707070707071, 1.0, 7.108078e-05
0.8080808080808081, 1.0, 6.218868e-05
0.9090909090909091, 1.0, 5.530535e-05
1.0101010101010102, 1.0, 4.977382e-05
1.1111111111111112, 1.0, 4.526892e-05
1.2121212121212122, 1.0, 4.150444e-05
1.3131313131313131, 1.0, 3.832097e-05
1.4141414141414141, 121.0, 0.0005848582
1.5151515151515151, 121.0, 0.0002689325
1.6161616161616161, 121.0, 0.0001744913
1.7171717171717171, 137.0, 0.0005406457
1.8181818181818181, 137.0, 0.0002593946
1.9191919191919191, 173.0, 0.0005363887
2.0202020202020203, 3213.0, 0.2219509
2.121212121212121, 8948.0, 0.2417795
2.2222222222222223, 15017.0, 0.7158196
2.323232323232323, 23757.0, 0.7958615
2.4242424242424243, 33009.0, 1.208459
2.525252525252525, 43908.0, 1.321004
2.6262626262626263, 56865.0, 1.512859
2.727272727272727, 71413.0, 1.724138
2.8282828282828283, 87677.0, 1.930502
2.929292929292929, 105293.0, 2.063983
3.0303030303030303, 124633.0, 2.406739
3.131313131313131, 145805.0, 2.684564
3.2323232323232323, 168724.0, 2.735978
3.3333333333333335, 193037.0, 3.10559
3.4343434343434343, 219097.0, 3.189793
3.5353535353535355, 247177.0, 3.521127
3.6363636363636362, 277349.0, 3.846154
3.7373737373737375, 309281.0, 4.016064
3.8383838383838382, 343144.0, 4.123711
3.9393939393939394, 378465.0, 4.310345
4.040404040404041, 415649.0, 4.705883
4.141414141414141, 454873.0, 4.842615
4.242424242424242, 495901.0, 5.141388
4.343434343434343, 538820.0, 5.249344
4.444444444444445, 583752.0, 5.479452
4.545454545454545, 630597.0, 5.865103
4.646464646464646, 679445.0, 6.042296
4.747474747474747, 729676.0, 6.116208
4.848484848484849, 782233.0, 6.535948
4.94949494949495, 836025.0, 6.849315
5.05050505050505, 891925.0, 6.920415
5.151515151515151, 947197.0, 6.920415
5.252525252525253, 1004976.0, 7.246377
5.353535353535354, 1065520.0, 7.407407
5.454545454545454, 1128325.0, 7.874016
5.555555555555555, 1193629.0, 8.163265
5.656565656565657, 1261329.0, 8.510638
5.757575757575758, 1329337.0, 8.658009
5.858585858585858, 1400353.0, 8.888889
5.959595959595959, 1474545.0, 9.302325
6.0606060606060606, 1551657.0, 9.708738
6.161616161616162, 1631705.0, 10.05025
6.262626262626262, 1714785.0, 10.41667
6.363636363636363, 1799817.0, 10.6383
6.4646464646464645, 1888277.0, 11.11111
6.565656565656566, 1980273.0, 11.42857
6.666666666666667, 2074761.0, 11.62791
6.767676767676767, 2172089.0, 12.04819
6.8686868686868685, 2272361.0, 12.65823
6.96969696969697, 2376149.0, 12.73885
7.070707070707071, 2482289.0, 13.33333
7.171717171717171, 2591348.0, 13.69863
7.2727272727272725, 2702201.0, 13.69863
7.373737373737374, 2815709.0, 14.1844
7.474747474747475, 2931184.0, 14.38849
7.575757575757575, 3049181.0, 14.49275
7.6767676767676765, 3169577.0, 14.92537
7.777777777777778, 3298073.0, 16.26016
7.878787878787879, 3429069.0, 16.26016
7.979797979797979, 3562029.0, 16.52892
8.080808080808081, 3697081.0, 16.94915
8.181818181818182, 3834205.0, 16.94915
8.282828282828282, 3975157.0, 17.69912
8.383838383838384, 4122740.0, 18.34862
8.484848484848484, 4273853.0, 18.86792
8.585858585858587, 4427672.0, 19.04762
8.686868686868687, 4583985.0, 19.60784
8.787878787878787, 4743565.0, 19.80198
8.88888888888889, 4905497.0, 20.0
8.98989898989899, 5070169.0, 20.40816
9.09090909090909, 5237140.0, 20.83333
9.191919191919192, 5406393.0, 21.05263
9.292929292929292, 5577265.0, 21.2766
9.393939393939394, 5749933.0, 21.50538
9.494949494949495, 5923233.0, 21.73913
9.595959595959595, 6097312.0, 21.73913
9.696969696969697, 6272625.0, 21.97802
9.797979797979798, 6448532.0, 21.97802
9.8989898989899, 6625457.0, 21.97802
10.0, 6802369.0, 22.22222
